month,MPS_ORTH
1988m2,-.0306329414326147
1988m3,0
1988m4,-.0414096265958781
1988m5,.1274798763161122
1988m6,-.0225814307019789
1988m7,-.031548874492234
1988m8,.1022229644798888
1988m9,-.0018466086340285
1988m10,0
1988m11,.0408293799958124
1988m12,.0121992508290646
1989m1,-.0583723576223585
1989m2,-.0650852966369782
1989m3,-.0403720560510777
1989m4,0
1989m5,-.0167314718978011
1989m6,-.0481945068085418
1989m7,-.0417453989075034
1989m8,-.0160688264072475
1989m9,0
1989m10,.0441912705014766
1989m11,.0166994291389453
1989m12,-.0270576708098234
1990m1,0
1990m2,.0104686103156405
1990m3,-.0256796126893913
1990m4,0
1990m5,.0178188191832399
1990m6,0
1990m7,-.0007419785582569
1990m8,.0390381856484548
1990m9,0
1990m10,.0195181611221361
1990m11,.0408808385343279
1990m12,-.0228346006995106
1991m1,-.0941049345977783
1991m2,.0265370391857639
1991m3,-.0628336708513653
1991m4,-.1288804417785382
1991m5,.0304320793173038
1991m6,0
1991m7,.0492351260224522
1991m8,-.0356894047198306
1991m9,.0578939227088936
1991m10,.0411734161280829
1991m11,-.0358278252314622
1991m12,-.0565506332516662
1992m1,0
1992m2,.0186810274249107
1992m3,0
1992m4,-.2010970100630746
1992m5,.0330924398498768
1992m6,0
1992m7,.0701046409678392
1992m8,.0017986386083148
1992m9,.0252616566893074
1992m10,.0272339684088189
1992m11,.0178097562985703
1992m12,-.0010110901182952
1993m1,0
1993m2,.0050223882065342
1993m3,-.0176749514631574
1993m4,0
1993m5,-.0114759260279176
1993m6,0
1993m7,-.0057769836242768
1993m8,-.0003695118944945
1993m9,.011333352171763
1993m10,0
1993m11,-.0031953612774558
1993m12,-.0058641425030705
1994m1,0
1994m2,.151723487349919
1994m3,-.0674824658773531
1994m4,.0707252788306593
1994m5,-.0728576310606154
1994m6,0
1994m7,-.012934978672112
1994m8,.0056280857201784
1994m9,-.020163896840126
1994m10,0
1994m11,.0353516039428918
1994m12,-.0250987193471514
1995m1,0
1995m2,.044228314712937
1995m3,.0024588206672217
1995m4,0
1995m5,-.0029136240988728
1995m6,0
1995m7,-.227952304450019
1995m8,.0618298256939425
1995m9,.061415652794829
1995m10,0
1995m11,.0345323240562514
1995m12,-.0401247131815172
1996m1,-.0380589648597805
1996m2,0
1996m3,-.0125462319932131
1996m4,0
1996m5,.0199983318270619
1996m6,0
1996m7,-.0395034822469918
1996m8,.0112198689652399
1996m9,-.0854509447497498
1996m10,0
1996m11,-.0250786319710852
1996m12,.0017936167250885
1997m1,0
1997m2,-.0165139974655085
1997m3,.048005873188183
1997m4,0
1997m5,-.0630901828119603
1997m6,0
1997m7,.0055715916929042
1997m8,.0027260159040223
1997m9,-.0073151129432567
1997m10,0
1997m11,-.0305083496640568
1997m12,-.0201013198165704
1998m1,0
1998m2,.0139296307189376
1998m3,-.0069960184168141
1998m4,0
1998m5,-.0106320966671117
1998m6,0
1998m7,.0109614604189549
1998m8,.0207859320609037
1998m9,.0504317900601822
1998m10,-.234075646688236
1998m11,-.0117311987873191
1998m12,.0065446132445142
1999m1,0
1999m2,-.0065996170704165
1999m3,-.0370987428242264
1999m4,0
1999m5,.10948317381528
1999m6,-.0933523894617063
1999m7,0
1999m8,-.0216055679078235
1999m9,0
1999m10,.0862417445183569
1999m11,.0590271318510179
1999m12,.0209432323304494
2000m1,0
2000m2,-.0224310866664901
2000m3,.0078152153996767
2000m4,0
2000m5,.0453039340061478
2000m6,-.0219771045135662
2000m7,0
2000m8,.0293645229686098
2000m9,0
2000m10,.0559553043224644
2000m11,.0191296699958033
2000m12,.0516589332334994
2001m1,-.090010094236995
2001m2,0
2001m3,-.0279877600156202
2001m4,-.248783622999742
2001m5,-.0731567548005162
2001m6,.108982746792104
2001m7,0
2001m8,.0020396177829502
2001m9,0
2001m10,-.0023199216070955
2001m11,-.0905243524754425
2001m12,-.0025761149908907
2002m1,.0518965791289366
2002m2,0
2002m3,-.0730886937126932
2002m4,0
2002m5,-.0298326211419787
2002m6,.0482659512253105
2002m7,0
2002m8,-.0735262797382203
2002m9,.0099710001786466
2002m10,0
2002m11,-.0861130606985522
2002m12,.0438256038357958
2003m1,.0653039229064782
2003m2,0
2003m3,.0428747700320933
2003m4,0
2003m5,-.0852267430564459
2003m6,.131476601937948
2003m7,0
2003m8,-.0225660422798381
2003m9,.0238947169005634
2003m10,-.107735562730021
2003m11,0
2003m12,.0297863936397605
2004m1,.141472763808943
2004m2,0
2004m3,-.0753086666934861
2004m4,0
2004m5,-.0291932061830024
2004m6,-.0122202767051065
2004m7,0
2004m8,.0736429072235316
2004m9,-.0130585842427143
2004m10,0
2004m11,-.0588955767568913
2004m12,-.0177779926194163
2005m1,0
2005m2,-.0245350053451472
2005m3,.063515692610204
2005m4,0
2005m5,.0215886788442815
2005m6,.0587029189232907
2005m7,0
2005m8,-.0321241256682155
2005m9,.0146738213577052
2005m10,0
2005m11,-.0039545517765535
2005m12,-.040024819870018
2006m1,.0301108625353025
2006m2,0
2006m3,.0480213274271892
2006m4,0
2006m5,.053834062528932
2006m6,-.0275448427297442
2006m7,0
2006m8,-.0229900071055173
2006m9,.0306585981764149
2006m10,-.0011171530740298
2006m11,0
2006m12,-.0377475824035397
2007m1,-.0028351803327848
2007m2,0
2007m3,-.0692149515099732
2007m4,0
2007m5,.0477887749819019
2007m6,.0068074046365516
2007m7,0
2007m8,.0579860578690999
2007m9,-.128891074863685
2007m10,.0923568471680851
2007m11,0
2007m12,.10321711702166
2008m1,-.1124910901001168
2008m2,0
2008m3,.1661285963662339
2008m4,-.0615018919659865
2008m5,0
2008m6,-.0533477904153941
2008m7,0
2008m8,.0055198999627911
2008m9,.154661645508479
2008m10,.1820143410279527
2008m11,0
2008m12,-.129721397064867
2009m1,.0280855033033544
2009m2,0
2009m3,-.0272796222818095
2009m4,.0321113719161043
2009m5,0
2009m6,.0541452492468988
2009m7,0
2009m8,.0027845743505999
2009m9,-.0967760211705375
2009m10,0
2009m11,-.0015567320167369
2009m12,.0020170237648137
2010m1,.0641981458222207
2010m2,0
2010m3,-.0195601462325435
2010m4,.0002648868618153
2010m5,0
2010m6,.0302547787533246
2010m7,0
2010m8,-.0067896497552048
2010m9,-.0186123554688507
2010m10,0
2010m11,-.0061169016467172
2010m12,-.0079365093108926
2011m1,-.0091748768265846
2011m2,0
2011m3,.0029882972762776
2011m4,-.0255840718137398
2011m5,0
2011m6,.0237370737270358
2011m7,0
2011m8,-.0062032499809142
2011m9,.0668313712737119
2011m10,0
2011m11,.0215237689559124
2011m12,.0180705088407858
2012m1,-.0354886065424509
2012m2,0
2012m3,-.0096214187277186
2012m4,.0022061242760943
2012m5,0
2012m6,.0382147885613605
2012m7,0
2012m8,.0121450433402153
2012m9,-.0074552078674646
2012m10,-.0082521710487906
2012m11,0
2012m12,-.0138593635532921
2013m1,-.0156893899726719
2013m2,0
2013m3,-.0148811337526841
2013m4,0
2013m5,.0017303154649735
2013m6,-.0020595483876696
2013m7,-.0000432686910585
2013m8,0
2013m9,-.0129952643948317
2013m10,-.0117623316172004
2013m11,0
2013m12,-.0156540337235128
2014m1,.0116798667564085
2014m2,0
2014m3,.0050407865236471
2014m4,-.0055664324044276
2014m5,0
2014m6,.0130429858204695
2014m7,-.0008846432544343
2014m8,0
2014m9,.0396253639824343
2014m10,.051125507750037
2014m11,0
2014m12,-.034972788543288
2015m1,.0249920738997153
2015m2,0
2015m3,-.0513829080812921
2015m4,.0220191261240318
2015m5,0
2015m6,-.0505865154278684
2015m7,.0227717792385686
2015m8,0
2015m9,-.0324595999531352
2015m10,.066064254172426
2015m11,0
2015m12,.0422759111798042
2016m1,-.0042293475576499
2016m2,0
2016m3,-.0810179563285228
2016m4,.0038564099740806
2016m5,0
2016m6,-.037190644342058
2016m7,.0056751394634857
2016m8,0
2016m9,-.016753348133959
2016m10,0
2016m11,.014011448139666
2016m12,.0360435820238318
2017m1,0
2017m2,-.0100920271249347
2017m3,-.0413861051234514
2017m4,0
2017m5,.0447146438346912
2017m6,.0390383754232761
2017m7,-.0137187812218172
2017m8,0
2017m9,.0661799346494381
2017m10,0
2017m11,.0241863756022085
2017m12,.0009052686129123
2018m1,.0055372119684766
2018m2,0
2018m3,.0017775828161994
2018m4,0
2018m5,.0204815492976969
2018m6,.0291735328233012
2018m7,0
2018m8,.0085041120734855
2018m9,.0115440423023216
2018m10,0
2018m11,.0217378175788784
2018m12,.0661832088719856
2019m1,-.0031826427645267
2019m2,0
2019m3,-.0010742666266956
2019m4,0
2019m5,-.0294289288115182
2019m6,-.0368322802015109
2019m7,.053871229078683
2019m8,0
2019m9,.0556686640782683
2019m10,.0567440315522561
2019m11,0
2019m12,.0089625672394829
